sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BZX_Feeds_A","Canadian_feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NYSE_AMEX_OpenBook_A","TSX_Feeds_A","UTP_Feed_A"
1714745620000,24741600,44550872,99620328,11440,6025104,975744,73221344
1714745640000,14861824,27995384,44771232,9664,4674240,639176,57352992
1714745660000,18623288,31558632,72419456,9072,5826560,628440,75456000
1714745680000,39215032,41365120,69642008,9840,9772256,2287040,136952400
1714745700000,22549888,79599792,141287968,48560,3977744,553640,56299760
1714745720000,10935256,29333296,48704320,10672,4651120,666888,47345888
1714745740000,21996128,39431416,65161336,11024,6153856,1089528,70274800
1714745760000,25146504,65387584,89267296,13104,8142288,980552,122323384
1714745780000,19483672,41260424,71908184,12272,5761760,567008,68093560
1714745800000,25258312,45108880,83177400,14288,6397376,1687592,83991680
1714745820000,20314456,52963336,83345472,9072,7149968,683384,92839464
1714745840000,10602648,29167600,40608472,13632,4276192,800768,51880400
1714745860000,21691680,37305176,65665304,15296,5714992,880264,60996816
1714745880000,30558368,39109424,119895736,10176,5375600,632376,62281552
1714745900000,29172048,66364896,98169240,14112,8280512,977128,119708624
1714745920000,22381936,61045696,114533920,15888,8197664,1494592,94437000
1714745940000,21242736,55499552,77867280,33792,8317280,1883024,105557696
1714745960000,17115752,23696856,51455736,40496,5806672,1755192,41496296
1714745980000,26610680,39416608,96537472,20560,8273456,917904,112918992
1714746000000,25954336,60605728,101776504,76448,6202960,1831400,80851728
1714746020000,15069272,33132008,54359624,47792,3093328,387384,42676664
1714746040000,24658616,51471520,89623864,20448,6636960,1495264,89837320
1714746060000,30853920,50276984,96196528,128144,6835632,2463128,78903104
1714746080000,17647328,37925144,80392616,20752,3267136,579080,46531152
1714746100000,17151904,30588184,67598128,14112,4744848,872680,55648528
1714746120000,15086616,31335224,60778696,11440,4833232,967616,63642720
1714746140000,18744016,34908520,70459112,12608,4876816,930144,57293784
1714746160000,18016816,27801768,52549256,27808,4064160,1090448,56237792
1714746180000,17430512,29066032,64469120,13696,4401232,922976,51434024
1714746200000,21295664,29829072,75822072,10672,3872384,680328,45636440
1714746220000,14866024,28825696,53788752,7056,4161104,752880,51246376
1714746240000,27065296,74642800,126828496,13104,9660048,1846728,138331944
1714746260000,11250840,38391760,75485104,53072,5232432,2712984,61798360
1714746280000,25120672,22583888,91552280,18736,7053136,1782344,99844200
1714746300000,34831528,57877168,134581680,17248,6113712,1269552,85840208
1714746320000,14340584,28433112,52968624,9664,4268816,970416,51262216
1714746340000,26578672,33043272,66615024,20864,8526752,1257688,131001664
1714746360000,21602248,68258424,104967656,21168,4976592,833504,59461256
1714746380000,11082032,29806760,54919008,9664,4058912,485312,56584552
1714746400000,20323496,35334256,79534784,10080,4963088,1023584,67704672
1714746420000,13818648,35011320,68963560,7648,4863984,567088,63935288
1714746440000,19336688,26066040,77154024,9072,4562384,1108496,46665912
1714746460000,22108216,43036224,83754296,14816,6028608,1175416,81643392
1714746480000,23263176,41836120,90515008,7232,5680816,863896,71765680
1714746500000,8845624,24027680,36369496,9072,3343424,970096,47131288
1714746520000,15259064,45099696,62031144,22512,6474400,1319136,72693416
1714746540000,15050392,40198832,60129832,17136,5642432,882904,73373088
1714746560000,15249752,35607048,60042792,8064,5224896,1010944,62111768
1714746580000,16425744,24784768,39546360,12272,8976608,805600,120506120
1714746600000,28903856,75001264,126552224,15296,8695056,2092080,132180768
1714746620000,13620856,24159688,51850288,9072,3589136,735552,38546840
1714746640000,13050976,23908264,55489832,13696,3782944,1066352,45166088
1714746660000,13157872,25236480,46605616,25232,3825904,809376,45673680
1714746680000,18663856,33512680,62956952,10256,4765968,1407584,63450416
1714746700000,18956304,50630304,74848360,11440,6520928,759328,93215856
1714746720000,13280312,24013824,36114120,7232,3834544,1710488,49926664
1714746740000,28262064,62504496,117641296,21872,8460064,3012296,102761968
1714746760000,14458280,37748912,63825296,9072,5753952,1045192,60324592
1714746780000,22403368,38970768,87875288,22624,3527696,822752,63836536
1714746800000,15772816,27636728,53522160,8064,3887664,486304,46709664
