sep=,
"Time","Aeqnitch__Aequitas_NEO_A","BATS_BYX_Feeds_A","BATS_BZX_Feeds_A","CBBO_Feeds__Best_Bid_Offer_A","CBOE__BATSEDGA_A","CBOE__BATS_EDGX_A","CDF_feeds_A","CQS_Pillar_feeds_A","CSEMC_Feed__Canadian_Securities_Ex_A","CTS_Pillard_Feeds_A","Canadian_feeds_A","FINRA_tdds_A","IEX_Feeds__TOPS_and_DEEP_A","Intelligent_Cross_ASPEN_A","MEMX_Feeds_A","MIAX_Feeds_A","NASDAQ_Canadian_CXD_Purestream_A","NASDAQ_Canadian_Chix_A","NEW_CQS_Pillar_feeds_A","NYSE_AMEX_OpenBook_A","NYSE_ARCA_Pillar_A","NYSE_Chicago_A","NYSE_Imbalance_A","NYSE_National_A","NYSE_OpenBook_Ultra_A","Nasdaq_BX_Totalview_A","Nasdaq_Chix_feed_CXC_A","New_CTS_Pillard_Feeds_A","Omega_Feed_A","Omega_Lynx_feed_A","TSX_Feeds_A","TSX_Quantumfeed_A","TSX_Venture_QuantumFeed_A","Totalview_A","UTP_Feed_A"
1707357600000,,247.20000000000002,257.6,2.4000000000000004,235.20000000000002,237.60000000000002,12.8,19.200000000000003,,20.8,,,,,,384,,,19.200000000000003,,,,,,,,,19.200000000000003,,,2.4000000000000004,,,,96
1707361200000,,236.8,255.20000000000002,0.8,236,236,8.8,,,,,,,,,384,,,,,,,,,,,,,,,2.4000000000000004,,,,
1707364800000,,236.8,259.2,,236.8,235.20000000000002,,,,,,,,,,384,,,,,,,,,,,,,,,,,,,
1707368400000,,234.4,256.8,,236,235.20000000000002,4.800000000000001,19.200000000000003,14.4,20.8,4.800000000000001,,,,,,,,19.200000000000003,5903.200000000001,7123.200000000001,6564,8210.4,7885.6,4763.2,,,19.200000000000003,,,,1.6,1.6,,
1707372000000,,236,258.40000000000003,,236.8,234.4,4.800000000000001,19.200000000000003,16,20.8,4,,,,,,,,108.80000000000001,3.2,112,48.800000000000004,16,48,6.4,,,124.80000000000001,,,,1.6,1.6,,
1707375600000,,235.20000000000002,257.6,,235.20000000000002,491.20000000000005,11.200000000000001,19.200000000000003,16,20.8,4,,,,,,,,20,3.2,1703.2,48.800000000000004,16.8,48,6.4,,,97.60000000000001,,,,1.6,1.6,,100
1707379200000,,234.4,259.2,,234.4,20885.600000000002,98059.20000000001,19.200000000000003,16,20.8,90307.20000000001,8,,,,,,,22909.600000000002,3.2,68613.6,2056,1948,2252,6.4,21521.600000000002,,5017.6,,,,88597.6,42364,218944,18213.600000000002
1707382800000,,235.20000000000002,256.8,,235.20000000000002,49414.4,19635.2,19.200000000000003,3335.2000000000003,20.8,10506.400000000001,8,,,,,4430.400000000001,4430.400000000001,9442.4,3.2,37831.200000000004,48.800000000000004,16,48,6.4,8,4430.400000000001,354.40000000000003,8752.800000000001,8764.800000000001,,2077.6,1480.8000000000002,22724.800000000003,5248.8
1707386400000,,490.40000000000003,956,,516,3184,49.6,19.200000000000003,16,20.8,68.8,8,,,1238.4,4708.8,8.8,8,5440,3.2,5461.6,48.800000000000004,16.8,48.800000000000004,6.4,8,8.8,267.2,1.6,1.6,,20,4.800000000000001,8896.800000000001,3305.6000000000004
1707390000000,39855.200000000004,2166.4,3117.6000000000004,3420,1921.6000000000001,41078.4,25999.2,19.200000000000003,847.2,20.8,4736,8,,1080,14755.2,485.6,8.8,8,43328,5035.200000000001,181792,8549.6,6376.8,8089.6,152589.6,839.2,8,2952.8,1.6,1.6,2.4000000000000004,4341.6,2728.8,41393.600000000006,37208
